Household Key,Mail Responder,Motorcycle Indicator,Income,Credit Ranges,age,Number of Children,Num Vehicles Owned,FSV Services Purchased,Home Owner_Probable Home Owner,Home Owner_Probable Renter,Home Owner_Renter,Home Owner_nan,Dwelling Type_Multy-Family Apt,Dwelling Type_PO Box,Dwelling Type_Single-Family Home,Dwelling Type_nan,Education_Graduated School,Education_High School,Education_Some College,Education_Unknown,Education_nan,Gender_Male,Gender_Unknown,Gender_nan,Bought FSV,Total Cost
20672485.0,1,0,105.0,775.0,66.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
20907024.0,1,1,105.0,675.0,58.4,3.0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,204.35
21094755.0,1,1,75.0,761.1111111111113,72.42857142857143,1.0,2,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,286.7
24517374.0,1,1,105.0,825.0,71.0,1.0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,293.55
24771510.0,1,1,110.0,718.75,77.5,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,58.85
24789660.0,1,1,116.66666666666669,712.5,57.66666666666666,5.0,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,217.85
24799974.0,1,0,95.0,754.1666666666665,91.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,138.0
24851187.0,1,0,45.0,575.0,40.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0
24879609.0,1,1,205.0,775.0,72.0,0.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,84.85
24881421.0,1,1,75.0,800.0,92.0,0.0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,321.0
24895987.0,1,1,205.0,705.5555555555555,73.0,1.0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,376.85
